Title*,Dataset title*,Publisher*,Description,Language,License,AccessURL*,DownloadURL*,MediaType*,CompressionFormat,Format,Bytesize
EJPRD WP13 CAKUT peptidome Mendeley,EJPRD WP13 CAKUT peptidome,https://orcid.org/0000-0002-0637-9950,Mendely distribution of peptide abundances data of amniotic fluid samples from CAKUT and non-CAKUT pregnancies.,en,,https://data.mendeley.com/datasets/pnk73m22xn/draft?a=a7b5bdf8-8014-4d8e-b6e2-b1184a833517,,text/html,,,
Distribution of EJPRD WP13 CAKUT proteome data at ProteomeXchange Consortium,EJPRD WP13 CAKUT proteome,https://orcid.org/0000-0002-0637-9950,Proteome data at ProteomeXchange Consortium,en,,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD022926,,text/html,,,
